channel,outcome,outcome_label,estimator,estimator_label,point,se,ci_lower,ci_upper,n,assumptions,label
email,sim_converted_14d,14-day conversion,naive,Naive (Day 8),0.12523319918513723,0.003109387481052715,0.11913891170829419,0.13132748666198027,94983.0,No adjustment; diff-in-means = effect + targeting/sim_u selection,estimated (simulated)
email,sim_converted_14d,14-day conversion,ols,OLS (Day 9),0.12738410650102777,0.0032012159936783383,0.12110983844668463,0.1336583745553709,94983.0,"Linear, HC3 SE; adjustment on observed set only; sim_u unadjusted",estimated (simulated)
email,sim_converted_14d,14-day conversion,ipw,IPW (Day 10),0.12867643586239746,0.0033480754223322775,0.12182769016510092,0.1350451935550616,94983.0,PS correct + positivity; overlap/sim_u limits (weights capped at cfg cap),estimated (simulated)
email,sim_converted_14d,14-day conversion,dr,DR / AIPW (Day 11),0.1286796582122526,0.0033129288369033133,0.12218643700857794,0.13517287941592726,94983.0,PS or outcome model correct; PS clipped per Day-10 cap; sim_u unadjusted,estimated (simulated)
email,sim_converted_14d,14-day conversion,att_matched,ATT matched (Day 7),0.12913436233017997,0.0035554395345060827,0.12216582889333819,0.13610289576702175,28118.0,1:1 NN caliper match on observed PS; ATT parameter; sim_u unadjusted,estimated (simulated)
email,sim_converted_14d,14-day conversion,dowhy_backdoor,DoWhy backdoor (Day 12),0.12738410650102247,0.0032012159936783383,0.12110983844667933,0.1336583745553656,94983.0,DoWhy identify + backdoor.linear_regression; SE identical to OLS (same model),estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),naive,Naive (Day 8),16.77132685512232,0.6237092131605556,15.548846736092775,17.993806974151866,94983.0,No adjustment; diff-in-means = effect + targeting/sim_u selection,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),ols,OLS (Day 9),17.11120564572758,0.6423400524045183,15.852242277187154,18.370169014268008,94983.0,"Linear, HC3 SE; adjustment on observed set only; sim_u unadjusted",estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),ipw,IPW (Day 10),17.36456714957528,0.680823195744591,15.998581965978552,18.66246155919051,94983.0,PS correct + positivity; overlap/sim_u limits (weights capped at cfg cap),estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),dr,DR / AIPW (Day 11),17.364681397053133,0.6743484198876019,16.04298278104194,18.686380013064326,94983.0,PS or outcome model correct; PS clipped per Day-10 cap; sim_u unadjusted,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),att_matched,ATT matched (Day 7),17.48014047940821,0.7000665663068779,16.108035222666107,18.852245736150312,28118.0,1:1 NN caliper match on observed PS; ATT parameter; sim_u unadjusted,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),dowhy_backdoor,DoWhy backdoor (Day 12),17.111205645726873,0.6423400524045183,15.852242277186447,18.3701690142673,94983.0,DoWhy identify + backdoor.linear_regression; SE identical to OLS (same model),estimated (simulated)
